station_id,phase_index,phase_time,phase_score,phase_type,dt_s,phase_amplitude,polarity,magnitude
SM02,1839,2024-04-03T00:00:20.030000,0.628,S,0.01,0.04105,x,
SM06,2139,2024-04-03T00:00:21.490000,0.344,S,0.01,0.0429,x,
SM06,2474,2024-04-03T00:00:24.840000,0.588,P,0.01,0.08059,D,5.196558663482271
ESL,2463,2024-04-03T00:00:24.900000,0.957,P,0.01,0.111,x,4.960138414587791
EGFH,2500,2024-04-03T00:00:25.000000,0.39,P,0.01,0.001065,D,4.118841742931775
SM02,2405,2024-04-03T00:00:25.690000,0.632,P,0.01,0.06467,x,5.247312405445177
SM39,2564,2024-04-03T00:00:26.090000,0.505,P,0.01,0.1426,x,5.528004875481159
SM09,2620,2024-04-03T00:00:26.690000,0.566,P,0.01,0.08859,x,5.467399332979776
ESL,2873,2024-04-03T00:00:29.000000,0.686,S,0.01,0.111,x,4.960138414587791
WUSB,2947,2024-04-03T00:00:29.478000,0.689,P,0.01,0.00438,D,
HGSD,3003,2024-04-03T00:00:30.030000,0.312,P,0.01,0.01354,x,
ECB,2930,2024-04-03T00:00:30.190000,0.605,P,0.01,0.03316,D,5.5479485682969365
SM02,2980,2024-04-03T00:00:31.440000,0.44,S,0.01,0.06467,x,5.247312405445177
TDCB,3147,2024-04-03T00:00:31.478000,0.378,P,0.01,0.002682,U,
WPL,3140,2024-04-03T00:00:31.600000,0.709,P,0.01,0.02504,U,5.209044041934467
SML,3126,2024-04-03T00:00:31.990000,0.598,P,0.01,0.02,D,5.562163356379205
YUS,3246,2024-04-03T00:00:32.600000,0.592,P,0.01,0.1151,U,5.880958309152149
SSLB,3326,2024-04-03T00:00:33.268000,0.439,P,0.01,0.002692,U,
CHK,3314,2024-04-03T00:00:33.350000,0.311,P,0.01,0.01971,U,5.5774757633358565
B071,3363,2024-04-03T00:00:34.430000,0.366,P,0.01,0.01509,U,5.503970056799847
ALS,3358,2024-04-03T00:00:34.740000,0.721,P,0.01,0.01336,U,5.738809844944569
B215,3457,2024-04-03T00:00:35.890000,0.705,P,0.01,0.01303,D,5.482469098522682
B068,3665,2024-04-03T00:00:36.980000,0.435,P,0.01,0.01623,U,5.7751975089445455
SM09,3691,2024-04-03T00:00:37.400000,0.372,P,0.01,0.1384,x,
ECB,3743,2024-04-03T00:00:38.320000,0.537,S,0.01,0.0406,x,5.5479485682969365
SM09,3879,2024-04-03T00:00:39.280000,0.34,S,0.01,0.1384,x,
WPL,3998,2024-04-03T00:00:40.180000,0.502,S,0.01,0.02519,x,5.209044041934467
B148,3970,2024-04-03T00:00:40.780000,0.43,S,0.01,0.05848,x,5.572477653906983
SM39,4039,2024-04-03T00:00:40.840000,0.615,P,0.01,0.3623,x,
SML,4050,2024-04-03T00:00:41.230000,0.31,S,0.01,0.03177,x,5.562163356379205
YUS,4126,2024-04-03T00:00:41.400000,0.383,S,0.01,0.1151,x,5.880958309152149
SM39,4203,2024-04-03T00:00:42.480000,0.466,S,0.01,0.3623,x,
B078,4314,2024-04-03T00:00:43.470000,0.784,S,0.01,0.0261,x,5.43631359814808
CHK,4422,2024-04-03T00:00:44.430000,0.597,S,0.01,0.04747,x,5.5774757633358565
ALS,4411,2024-04-03T00:00:45.270000,0.418,S,0.01,0.0277,x,5.738809844944569
B071,4473,2024-04-03T00:00:45.530000,0.432,S,0.01,0.03188,x,5.503970056799847
E023,4539,2024-04-03T00:00:46.960000,0.319,S,0.01,0.01353,x,5.33973472618868
B215,4640,2024-04-03T00:00:47.720000,0.315,S,0.01,0.02334,x,5.482469098522682
B090,4735,2024-04-03T00:00:48.600000,0.384,S,0.01,0.02565,x,5.671491804906386
WPL,4868,2024-04-03T00:00:48.880000,0.333,P,0.01,0.008747,x,
C024,4872,2024-04-03T00:00:49.690000,0.681,S,0.01,0.04306,x,5.589851472650606
HOPB,6277,2024-04-03T00:01:02.773000,0.402,P,0.01,0.003513,D,4.768557132420621
SM09,6302,2024-04-03T00:01:03.510000,0.525,P,0.01,0.0671,x,4.9486002171443255
HOPB,6741,2024-04-03T00:01:07.413000,0.422,S,0.01,0.003513,x,4.768557132420621
YHNB,6831,2024-04-03T00:01:08.318000,0.697,P,0.01,0.002323,U,
B215,6724,2024-04-03T00:01:08.560000,0.666,P,0.01,0.02352,U,4.881503902372777
SM09,6819,2024-04-03T00:01:08.680000,0.559,S,0.01,0.0671,x,4.9486002171443255
TDCB,6907,2024-04-03T00:01:09.078000,0.571,P,0.01,0.002111,D,
SM06,7000,2024-04-03T00:01:10.100000,0.676,S,0.01,0.03296,x,5.038509673053991
NNSH,7146,2024-04-03T00:01:11.460000,0.493,S,0.01,0.001303,x,4.377452209712268
E077,7158,2024-04-03T00:01:11.980000,0.373,S,0.01,0.03334,x,4.58029299455536
B045,7182,2024-04-03T00:01:12.230000,0.349,P,0.01,0.007469,U,5.204638056550614
TDCB,7441,2024-04-03T00:01:14.418000,0.521,S,0.01,0.002111,x,
E023,7390,2024-04-03T00:01:15.470000,0.518,S,0.01,0.01527,x,4.83472516435373
YHNB,7620,2024-04-03T00:01:16.208000,0.408,S,0.01,0.001584,x,
B215,7543,2024-04-03T00:01:16.750000,0.325,S,0.01,0.02352,x,4.881503902372777
YUS,7669,2024-04-03T00:01:16.830000,0.357,P,0.01,0.009628,x,5.302562700817412
B189,7951,2024-04-03T00:01:20.420000,0.439,S,0.01,0.007527,x,4.883326054192677
B045,8241,2024-04-03T00:01:22.820000,0.407,S,0.01,0.01389,x,5.204638056550614
SM02,8766,2024-04-03T00:01:29.300000,0.619,P,0.01,0.02712,x,
B138,9092,2024-04-03T00:01:30.970000,0.319,S,0.01,0.02443,x,5.453410888298347
C024,9113,2024-04-03T00:01:32.100000,0.625,S,0.01,0.01622,x,5.443284934283808
SM09,9440,2024-04-03T00:01:34.890000,0.362,S,0.01,0.04187,x,
SM39,9453,2024-04-03T00:01:34.980000,0.514,S,0.01,0.07521,x,
E023,9582,2024-04-03T00:01:37.390000,0.344,P,0.01,0.005635,x,
E023,10731,2024-04-03T00:01:48.880000,0.358,S,0.01,0.006577,x,
SM09,11645,2024-04-03T00:01:56.940000,0.361,P,0.01,0.083,x,5.348331675855569
SM02,11550,2024-04-03T00:01:57.140000,0.578,P,0.01,0.03592,x,5.133858553066036
SM06,11745,2024-04-03T00:01:57.550000,0.564,P,0.01,0.03253,x,5.110111341739164
ESL,11810,2024-04-03T00:01:58.370000,0.58,P,0.01,0.06595,x,4.661553827119286
HOPB,11873,2024-04-03T00:01:58.733000,0.325,P,0.01,0.00246,U,4.894839982061293
WUSB,12200,2024-04-03T00:02:02.008000,0.598,P,0.01,0.001881,U,5.012211408495042
E077,12169,2024-04-03T00:02:02.090000,0.653,P,0.01,0.02013,x,4.76411702385159
SM06,12274,2024-04-03T00:02:02.840000,0.309,S,0.01,0.02767,x,5.110111341739164
SM02,12131,2024-04-03T00:02:02.950000,0.632,S,0.01,0.03592,x,5.133858553066036
SM39,12322,2024-04-03T00:02:03.670000,0.312,S,0.01,0.1573,x,5.681194551906668
E023,12276,2024-04-03T00:02:04.330000,0.636,P,0.01,0.006783,D,4.920300828511339
YHNB,12498,2024-04-03T00:02:04.988000,0.494,P,0.01,0.0008822,D,4.788597089648139
B215,12380,2024-04-03T00:02:05.120000,0.63,P,0.01,0.009453,D,5.141585202382787
GWUB,12546,2024-04-03T00:02:05.460000,0.502,P,0.01,0.002535,U,4.953229222396846
B189,12474,2024-04-03T00:02:05.650000,0.318,P,0.01,0.004575,U,4.8381884107609405
YUS,12656,2024-04-03T00:02:06.700000,0.403,P,0.01,0.006379,D,5.1405613831739805
B071,12630,2024-04-03T00:02:07.100000,0.422,P,0.01,0.004678,D,4.914279686283571
B045,12780,2024-04-03T00:02:08.210000,0.419,P,0.01,0.004324,U,5.082053433855608
B068,12801,2024-04-03T00:02:08.340000,0.362,P,0.01,0.005306,x,5.274181499766897
B138,12986,2024-04-03T00:02:09.910000,0.418,P,0.01,0.006869,U,5.350216801978935
C024,12924,2024-04-03T00:02:10.210000,0.347,P,0.01,0.008238,D,5.359069082636322
B090,12910,2024-04-03T00:02:10.350000,0.48,P,0.01,0.005906,D,5.249899303646294
WPL,13326,2024-04-03T00:02:13.460000,0.356,S,0.01,0.006423,x,
B215,13397,2024-04-03T00:02:15.290000,0.372,S,0.01,0.02088,x,5.141585202382787
E037,13576,2024-04-03T00:02:15.800000,0.382,S,0.01,0.01237,x,5.259259212618368
YUS,13721,2024-04-03T00:02:17.350000,0.406,S,0.01,0.01237,x,5.1405613831739805
B071,13842,2024-04-03T00:02:19.220000,0.47,S,0.01,0.006582,x,4.914279686283571
B068,14118,2024-04-03T00:02:21.510000,0.343,S,0.01,0.004809,x,5.274181499766897
SM09,14164,2024-04-03T00:02:22.130000,0.424,P,0.01,0.04221,x,
C024,14312,2024-04-03T00:02:24.090000,0.358,S,0.01,0.01855,x,5.359069082636322
B138,14417,2024-04-03T00:02:24.220000,0.395,S,0.01,0.01851,x,5.350216801978935
SM09,14379,2024-04-03T00:02:24.280000,0.42,S,0.01,0.04221,x,
E077,14585,2024-04-03T00:02:26.250000,0.372,S,0.01,0.006057,x,
SM09,14970,2024-04-03T00:02:30.190000,0.362,P,0.01,0.05664,x,4.986999422172105
ESL,15070,2024-04-03T00:02:30.970000,0.617,P,0.01,0.0422,x,
E077,15236,2024-04-03T00:02:32.760000,0.491,P,0.01,0.02967,x,4.42218058037383
LATB,15511,2024-04-03T00:02:35.118000,0.537,P,0.01,0.001831,x,
SM39,15469,2024-04-03T00:02:35.140000,0.55,S,0.01,0.07415,x,5.228303695875811
SM09,15507,2024-04-03T00:02:35.560000,0.332,S,0.01,0.05416,x,4.986999422172105
B215,15426,2024-04-03T00:02:35.580000,0.553,P,0.01,0.01743,U,4.807785119654661
WPL,15646,2024-04-03T00:02:36.660000,0.333,P,0.01,0.004561,D,4.657867688885933
B189,15676,2024-04-03T00:02:37.670000,0.532,P,0.01,0.003911,U,4.687216550351069
E077,15899,2024-04-03T00:02:39.390000,0.658,S,0.01,0.02967,x,4.42218058037383
B045,15923,2024-04-03T00:02:39.640000,0.36,P,0.01,0.003605,D,4.812276920805123
B071,15885,2024-04-03T00:02:39.650000,0.407,P,0.01,0.003612,D,4.865894255420271
B078,16028,2024-04-03T00:02:40.610000,0.364,P,0.01,0.003337,U,4.840348865746492
YHNB,16079,2024-04-03T00:02:40.798000,0.327,P,0.01,0.0009468,x,
B138,16257,2024-04-03T00:02:42.620000,0.305,P,0.01,0.00719,U,5.302388087225419
YHNB,16337,2024-04-03T00:02:43.378000,0.464,S,0.01,0.0009468,x,4.650921331098961
B215,16266,2024-04-03T00:02:43.980000,0.395,S,0.01,0.01743,x,4.807785119654661
SM39,16438,2024-04-03T00:02:44.830000,0.63,P,0.01,0.06178,x,
SM02,16329,2024-04-03T00:02:44.930000,0.715,P,0.01,0.02222,x,
SM06,16568,2024-04-03T00:02:45.780000,0.681,P,0.01,0.01978,x,
ESL,16744,2024-04-03T00:02:47.710000,0.76,P,0.01,0.02952,x,
SM39,16843,2024-04-03T00:02:48.880000,0.411,S,0.01,0.06178,x,
B078,17466,2024-04-03T00:02:54.990000,0.356,S,0.01,0.003567,x,
B138,17809,2024-04-03T00:02:58.140000,0.463,S,0.01,0.009266,x,5.302388087225419
SM09,17775,2024-04-03T00:02:58.240000,0.447,P,0.01,0.0597,x,
C024,17767,2024-04-03T00:02:58.640000,0.327,S,0.01,0.01003,x,5.233651751537964
ESL,17974,2024-04-03T00:03:00.010000,0.415,P,0.01,0.05335,x,
ALS,17959,2024-04-03T00:03:00.750000,0.602,S,0.01,0.003872,x,
SM02,18002,2024-04-03T00:03:01.660000,0.545,S,0.01,0.05255,x,
WUSB,18381,2024-04-03T00:03:03.818000,0.405,P,0.01,0.0009885,x,
ESL,18472,2024-04-03T00:03:04.990000,0.528,S,0.01,0.05335,x,
SM09,19166,2024-04-03T00:03:12.150000,0.401,P,0.01,0.03095,x,
SM02,20092,2024-04-03T00:03:22.560000,0.345,P,0.01,0.02066,x,
SM06,20292,2024-04-03T00:03:23.020000,0.59,P,0.01,0.02664,x,
B045,20262,2024-04-03T00:03:23.030000,0.329,S,0.01,0.003238,x,
SM39,20638,2024-04-03T00:03:26.830000,0.656,P,0.01,0.0743,x,
SM09,20644,2024-04-03T00:03:26.930000,0.667,P,0.01,0.05402,x,
SM06,20800,2024-04-03T00:03:28.100000,0.327,S,0.01,0.02643,x,
HOPB,21097,2024-04-03T00:03:30.973000,0.405,S,0.01,0.001345,x,
SM09,21055,2024-04-03T00:03:31.040000,0.524,S,0.01,0.05402,x,
E077,21225,2024-04-03T00:03:32.650000,0.412,P,0.01,0.009706,x,
WPL,22326,2024-04-03T00:03:43.460000,0.338,S,0.01,0.00256,x,
B215,22432,2024-04-03T00:03:45.640000,0.393,S,0.01,0.00523,x,
SM39,23264,2024-04-03T00:03:53.090000,0.525,P,0.01,0.06449,x,5.229469185305299
SM06,23304,2024-04-03T00:03:53.140000,0.781,P,0.01,0.02761,x,4.837561704672917
HWA,23316,2024-04-03T00:03:53.160000,0.323,P,0.01,0.001873,D,4.34520385749997
SM09,23268,2024-04-03T00:03:53.170000,0.589,P,0.01,0.03539,x,4.796895519578644
SM02,23153,2024-04-03T00:03:53.170000,0.857,P,0.01,0.02855,x,4.794015632725874
ESL,23409,2024-04-03T00:03:54.360000,0.719,P,0.01,0.05032,x,4.538448930155007
SM06,23727,2024-04-03T00:03:57.370000,0.361,S,0.01,0.01115,x,
SM09,23767,2024-04-03T00:03:58.160000,0.479,S,0.01,0.03539,x,4.796895519578644
SM06,23813,2024-04-03T00:03:58.230000,0.423,S,0.01,0.02761,x,4.837561704672917
ESL,24054,2024-04-03T00:04:00.810000,0.322,S,0.01,0.05032,x,4.538448930155007
EGC,58,2024-04-03T00:04:02.580000,0.519,S,0.01,0.05612,x,4.851366073647283
WPL,24978,2024-04-03T00:04:09.980000,0.392,S,0.01,0.003032,x,4.502944146667444
B189,24916,2024-04-03T00:04:10.070000,0.373,P,0.01,0.0023,x,
SM02,24859,2024-04-03T00:04:10.230000,0.405,P,0.01,0.01816,x,
B148,24955,2024-04-03T00:04:10.630000,0.31,S,0.01,0.006058,x,4.741307866524712
HOPB,25224,2024-04-03T00:04:12.243000,0.421,P,0.01,0.000984,x,
B215,25151,2024-04-03T00:04:12.830000,0.31,S,0.01,0.005171,x,4.58412463934865
YUS,25319,2024-04-03T00:04:13.330000,0.576,S,0.01,0.0112,x,5.124377432022804
SM02,25338,2024-04-03T00:04:15.020000,0.354,S,0.01,0.01814,x,
ALS,25566,2024-04-03T00:04:16.820000,0.346,S,0.01,0.004158,x,4.940329946093075
HOPB,25772,2024-04-03T00:04:17.723000,0.383,S,0.01,0.0009088,x,
SM09,27262,2024-04-03T00:04:33.110000,0.48,P,0.01,0.01896,x,
SM06,27390,2024-04-03T00:04:34.000000,0.349,P,0.01,0.01228,x,
EGC,3450,2024-04-03T00:04:36.500000,0.339,P,0.01,0.01779,x,
ESL,27639,2024-04-03T00:04:36.660000,0.4,P,0.01,0.02124,x,
SM09,27620,2024-04-03T00:04:36.690000,0.321,S,0.01,0.01795,x,
SM06,27786,2024-04-03T00:04:37.960000,0.668,S,0.01,0.01228,x,
ESL,28075,2024-04-03T00:04:41.020000,0.539,S,0.01,0.02124,x,
SM09,28799,2024-04-03T00:04:48.480000,0.828,P,0.01,0.08071,x,
SM02,28707,2024-04-03T00:04:48.710000,0.42,P,0.01,0.02651,x,
HOPB,29153,2024-04-03T00:04:51.533000,0.733,P,0.01,0.001322,U,4.784375538750118
SM39,29120,2024-04-03T00:04:51.650000,0.355,P,0.01,0.04069,x,4.946972833953522
SM06,29278,2024-04-03T00:04:52.880000,0.311,P,0.01,0.01476,x,4.653011088914761
NNSH,29404,2024-04-03T00:04:54.040000,0.394,P,0.01,0.0008297,D,3.9430463158615767
E077,29397,2024-04-03T00:04:54.370000,0.595,P,0.01,0.01391,x,4.183378633304679
TDCB,29579,2024-04-03T00:04:55.798000,0.566,P,0.01,0.0006345,D,3.889189075256741
E023,29462,2024-04-03T00:04:56.190000,0.795,P,0.01,0.007141,D,4.465896587622639
WUSB,29632,2024-04-03T00:04:56.328000,0.483,P,0.01,0.0009389,U,4.705975642339418
HOPB,29671,2024-04-03T00:04:56.713000,0.718,S,0.01,0.001322,x,4.784375538750118
F002,19098,2024-04-03T00:04:56.980000,0.311,P,0.01,0.003738,x,4.368430472865371
YHNB,29699,2024-04-03T00:04:56.998000,0.767,P,0.01,0.0009472,D,4.693002077496573
E037,29704,2024-04-03T00:04:57.080000,0.75,P,0.01,0.006729,x,4.904061267431826
B215,29588,2024-04-03T00:04:57.200000,0.799,P,0.01,0.0149,D,4.756237903176183
E004,29700,2024-04-03T00:04:57.300000,0.33,P,0.01,0.01131,D,5.0995858926241695
GWUB,29801,2024-04-03T00:04:58.010000,0.649,P,0.01,0.0009066,D,4.407611205805875
WPL,29813,2024-04-03T00:04:58.330000,0.704,P,0.01,0.004384,U,4.259715330147791
SM06,29836,2024-04-03T00:04:58.460000,0.532,S,0.01,0.01476,x,4.653011088914761
HGSD,29982,2024-04-03T00:04:59.820000,0.3,P,0.01,0.002024,U,4.938876486494776
B045,30086,2024-04-03T00:05:01.270000,0.398,P,0.01,0.003283,U,4.561067319257398
B068,30164,2024-04-03T00:05:01.970000,0.57,P,0.01,0.002814,U,4.728928014917797
YUS,30194,2024-04-03T00:05:02.080000,0.488,P,0.01,0.01147,x,5.0267326030543895
E023,30259,2024-04-03T00:05:04.160000,0.323,S,0.01,0.008194,x,4.465896587622639
YHNB,30522,2024-04-03T00:05:05.228000,0.458,S,0.01,0.0009472,x,4.693002077496573
C024,30428,2024-04-03T00:05:05.250000,0.62,P,0.01,0.005199,x,4.893743563669038
B215,30471,2024-04-03T00:05:06.030000,0.367,S,0.01,0.0149,x,4.756237903176183
WPL,30737,2024-04-03T00:05:07.570000,0.517,S,0.01,0.003431,x,
SM09,31336,2024-04-03T00:05:13.850000,0.345,P,0.01,0.02656,x,
SM02,31230,2024-04-03T00:05:13.940000,0.442,P,0.01,0.02,x,
B071,31350,2024-04-03T00:05:14.300000,0.472,S,0.01,0.004611,x,4.5752152879436
SM06,31433,2024-04-03T00:05:14.430000,0.884,P,0.01,0.02566,x,
B068,31420,2024-04-03T00:05:14.530000,0.314,S,0.01,0.002255,x,4.728928014917797
ESL,31502,2024-04-03T00:05:15.290000,0.705,P,0.01,0.04366,x,
EGC,7384,2024-04-03T00:05:15.840000,0.331,P,0.01,0.02281,x,
B078,31578,2024-04-03T00:05:16.110000,0.365,S,0.01,0.004125,x,
F002,21140,2024-04-03T00:05:17.400000,0.45,P,0.01,0.008991,x,
ESL,31814,2024-04-03T00:05:18.410000,0.554,S,0.01,0.04366,x,
SM06,31846,2024-04-03T00:05:18.560000,0.373,S,0.01,0.02566,x,
B138,31886,2024-04-03T00:05:18.910000,0.592,S,0.01,0.01677,x,5.1270864886753085
B090,31847,2024-04-03T00:05:19.720000,0.485,S,0.01,0.006062,x,4.869419930199339
C024,31891,2024-04-03T00:05:19.880000,0.604,S,0.01,0.008109,x,4.893743563669038
ALS,32102,2024-04-03T00:05:22.180000,0.367,S,0.01,0.004105,x,
SM09,32204,2024-04-03T00:05:22.530000,0.424,P,0.01,0.05039,x,
F002,21661,2024-04-03T00:05:22.610000,0.469,S,0.01,0.008991,x,
E077,32994,2024-04-03T00:05:30.340000,0.356,S,0.01,0.004769,x,
SM06,33230,2024-04-03T00:05:32.400000,0.68,S,0.01,0.02575,x,
SM09,34294,2024-04-03T00:05:43.430000,0.538,S,0.01,0.04211,x,
EOS4,34542,2024-04-03T00:05:45.420000,0.732,P,0.01,0.0004375,x,
SM02,34478,2024-04-03T00:05:46.420000,0.66,P,0.01,0.02143,x,
EOS4,34668,2024-04-03T00:05:46.680000,0.499,S,0.01,0.0004375,x,
E077,35034,2024-04-03T00:05:50.740000,0.312,P,0.01,0.004896,x,
SM39,35296,2024-04-03T00:05:53.410000,0.332,S,0.01,0.04805,x,
SM09,35299,2024-04-03T00:05:53.480000,0.404,S,0.01,0.03456,x,
B215,35245,2024-04-03T00:05:53.770000,0.354,P,0.01,0.004413,x,
E004,35365,2024-04-03T00:05:53.950000,0.48,P,0.01,0.006623,x,
E037,36618,2024-04-03T00:06:06.220000,0.409,S,0.01,0.005787,x,
E004,36598,2024-04-03T00:06:06.280000,0.583,S,0.01,0.005903,x,
SM06,36648,2024-04-03T00:06:06.580000,0.496,P,0.01,0.01278,x,
ESL,36668,2024-04-03T00:06:06.950000,0.446,P,0.01,0.021,x,
SM02,36569,2024-04-03T00:06:07.330000,0.428,P,0.01,0.01549,x,
ESL,36804,2024-04-03T00:06:08.310000,0.352,S,0.01,0.01838,x,
SM09,37086,2024-04-03T00:06:11.350000,0.426,S,0.01,0.02834,x,
HOPB,37790,2024-04-03T00:06:17.903000,0.693,P,0.01,0.001409,D,4.3999165197875385
SM39,37868,2024-04-03T00:06:19.130000,0.883,P,0.01,0.08113,U,4.632703783854803
SM09,37910,2024-04-03T00:06:19.590000,0.302,S,0.01,0.02982,x,
LATB,38224,2024-04-03T00:06:22.248000,0.312,P,0.01,0.0004789,D,4.4244995691721805
HOPB,38248,2024-04-03T00:06:22.483000,0.481,S,0.01,0.001409,x,4.3999165197875385
E077,38246,2024-04-03T00:06:22.860000,0.682,P,0.01,0.01131,x,4.537584682587597
E023,38213,2024-04-03T00:06:23.700000,0.424,P,0.01,0.007677,U,4.453282000569034
